label,text
ham,Happy birthday! Wishing you all the best.
spam,Cheap voucher available! Order now at http://dealz.today.
ham,Dinner at 8:30? Let's try the new place.
spam,Get FREE subscription today! Limited time offer. Visit http://go-claim.info.
ham,Can you call me when you're free?
ham,"I sent the files to your email, please check."
ham,Can you call me when you're free?
spam,Cheap coupon available! Order now at http://go-claim.info.
ham,Don't forget to bring the documents for the design meeting.
spam,Cheap coupon available! Order now at http://dealz.today.
spam,Cheap subscription available! Order now at http://promo-now.net.
spam,WIN 500$ CASH now! Reply YES to claim.
spam,Congratulations! You won a MacBook. Click http://bit.ly/reward to collect.
spam,Act now! 2000$ voucher waiting. Reply STOP to opt out.
ham,"I'll be there in 15 minutes, stuck in traffic."
spam,Get FREE membership today! Limited time offer. Visit http://go-claim.info.
ham,"Hey, are we still meeting at tomorrow morning today?"
spam,Congratulations! You won a vacation trip. Click http://bit.ly/reward to collect.
spam,Get FREE membership today! Limited time offer. Visit http://go-claim.info.
ham,Dinner at tomorrow morning? Let's try the new place.
spam,WIN 250$ CASH now! Reply YES to claim.
ham,"I'll be there in 15 minutes, stuck in traffic."
ham,Let's go to the gym after work.
ham,Can you call me when you're free?
spam,Your account won a MacBook. Verify here: http://promo-now.net.
spam,URGENT: Your loan of 500$ approved. Apply at http://bit.ly/reward.
ham,"Hey, are we still meeting at 8:30 today?"
ham,Let's go to the gym after work.
ham,"I sent the files to your email, please check."
ham,Dinner at 7:15? Let's try the new place.
spam,Your account won a gift card. Verify here: http://bit.ly/reward.
spam,Your account won a MacBook. Verify here: http://dealz.today.
spam,Final notice: claim your reward at http://bit.ly/reward.
ham,"I sent the files to your email, please check."
ham,What time does the class start tomorrow?
ham,Don't forget to bring the documents for the project meeting.
spam,Your account won a MacBook. Verify here: http://promo-now.net.
ham,Don't forget to bring the documents for the sales meeting.
ham,Happy birthday! Wishing you all the best.
spam,Cheap voucher available! Order now at http://bit.ly/reward.
spam,Cheap ringtone available! Order now at http://dealz.today.
spam,You have been selected for a iPhone 15. Confirm at http://go-claim.info.
spam,Get FREE coupon today! Limited time offer. Visit http://promo-now.net.
spam,Final notice: claim your reward at http://dealz.today.
spam,URGENT: Your loan of 250$ approved. Apply at http://promo-now.net.
spam,URGENT: Your loan of 2000$ approved. Apply at http://dealz.today.
ham,Let's go to the gym after work.
spam,Your account won a iPhone 15. Verify here: http://promo-now.net.
ham,Don't forget to bring the documents for the design meeting.
spam,URGENT: Your loan of 1000$ approved. Apply at http://dealz.today.
spam,Exclusive deal for you: 40% off. Redeem: http://promo-now.net.
spam,URGENT: Your loan of 250$ approved. Apply at http://bit.ly/reward.
ham,Let's go to the gym after work.
ham,What time does the class start tomorrow?
ham,Can you call me when you're free?
ham,"Hey, are we still meeting at 6pm today?"
spam,Get FREE ringtone today! Limited time offer. Visit http://go-claim.info.
ham,"I'll be there in 5 minutes, stuck in traffic."
spam,Act now! 500$ voucher waiting. Reply STOP to opt out.
ham,Mom asked if you're coming home this weekend.
spam,WIN 1000$ CASH now! Reply YES to claim.
ham,What time does the class start tomorrow?
spam,Act now! 500$ voucher waiting. Reply STOP to opt out.
spam,Cheap voucher available! Order now at http://dealz.today.
spam,Your account won a MacBook. Verify here: http://bit.ly/reward.
spam,Exclusive deal for you: 50% off. Redeem: http://go-claim.info.
spam,Congratulations! You won a MacBook. Click http://dealz.today to collect.
ham,Don't forget to bring the documents for the AI meeting.
spam,Congratulations! You won a PlayStation 5. Click http://dealz.today to collect.
spam,You have been selected for a MacBook. Confirm at http://promo-now.net.
ham,Can you call me when you're free?
spam,Cheap ringtone available! Order now at http://bit.ly/reward.
ham,Can you call me when you're free?
spam,Your account won a gift card. Verify here: http://bit.ly/reward.
spam,Final notice: claim your reward at http://go-claim.info.
ham,"Hey, are we still meeting at 7:15 today?"
spam,Congratulations! You won a vacation trip. Click http://dealz.today to collect.
spam,WIN 500$ CASH now! Reply YES to claim.
spam,Get FREE subscription today! Limited time offer. Visit http://dealz.today.
spam,Congratulations! You won a vacation trip. Click http://dealz.today to collect.
ham,"I'll be there in 20 minutes, stuck in traffic."
spam,Exclusive deal for you: 30% off. Redeem: http://dealz.today.
ham,Can you call me when you're free?
spam,Exclusive deal for you: 40% off. Redeem: http://promo-now.net.
spam,Get FREE ringtone today! Limited time offer. Visit http://dealz.today.
spam,Your account won a vacation trip. Verify here: http://bit.ly/reward.
spam,Cheap coupon available! Order now at http://dealz.today.
ham,Can you call me when you're free?
ham,Dinner at noon? Let's try the new place.
spam,Your account won a PlayStation 5. Verify here: http://dealz.today.
spam,Get FREE subscription today! Limited time offer. Visit http://promo-now.net.
ham,Can you call me when you're free?
spam,URGENT: Your loan of 250$ approved. Apply at http://dealz.today.
ham,Mom asked if you're coming home this weekend.
spam,Act now! 2000$ voucher waiting. Reply STOP to opt out.
spam,Act now! 250$ voucher waiting. Reply STOP to opt out.
spam,Cheap subscription available! Order now at http://bit.ly/reward.
ham,"I'll be there in 20 minutes, stuck in traffic."
ham,Can you call me when you're free?
spam,URGENT: Your loan of 100$ approved. Apply at http://go-claim.info.
ham,Can you call me when you're free?
spam,Get FREE coupon today! Limited time offer. Visit http://dealz.today.
ham,Happy birthday! Wishing you all the best.
ham,What time does the class start tomorrow?
spam,You have been selected for a vacation trip. Confirm at http://promo-now.net.
spam,Get FREE coupon today! Limited time offer. Visit http://promo-now.net.
ham,Dinner at 8:30? Let's try the new place.
ham,"I'll be there in 20 minutes, stuck in traffic."
ham,Happy birthday! Wishing you all the best.
spam,Final notice: claim your reward at http://go-claim.info.
ham,"Hey, are we still meeting at tomorrow morning today?"
ham,"Hey, are we still meeting at 8:30 today?"
ham,Dinner at 8:30? Let's try the new place.
ham,What time does the class start tomorrow?
spam,URGENT: Your loan of 100$ approved. Apply at http://bit.ly/reward.
ham,Dinner at tomorrow morning? Let's try the new place.
spam,Act now! 100$ voucher waiting. Reply STOP to opt out.
spam,You have been selected for a gift card. Confirm at http://go-claim.info.
spam,Congratulations! You won a MacBook. Click http://promo-now.net to collect.
spam,You have been selected for a MacBook. Confirm at http://go-claim.info.
